   Current data set:
   NAME =	djhap_benapyr	EXPNO =	10	PROCNO = 1
   USER =	nmr	DU    =	/opt/topspin/data/jeannerat

   Number   Integrated Region     Integral
     1      9.213      9.025         2.00000
     2      8.639      8.501         1.00781
     3      8.431      8.344         1.03319
     4      8.344      8.294         0.98455
     5      8.294      8.214         0.98632
     6      8.177      8.094         1.02946
     7      8.094      7.985         2.01914
     8      7.985      7.934         1.02374
     9      7.934      7.835         1.02352
    10      7.835      7.752         0.97347
    11      7.327      7.223         1.30487
