SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/jeannerat/data/nmr/nmr/djhap_benapyr/10/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 328 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.148e+00     9.600e-02  
T     =       4.635s       69.696s  

RSS   =    1.484e-03
SD    =    7.034e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.020e+00     1.958e-02
    2       2.000s     8.535e-01     8.387e-01    -1.475e-02
    3       3.000s     7.103e-01     6.927e-01    -1.755e-02
    4       4.000s     5.840e-01     5.748e-01    -9.179e-03
    5       5.000s     4.795e-01     4.796e-01     8.259e-05
    6       6.000s     3.962e-01     4.026e-01     6.356e-03
    7       7.000s     3.312e-01     3.403e-01     9.148e-03
    8       8.000s     2.805e-01     2.899e-01     9.369e-03
    9       9.000s     2.410e-01     2.490e-01     8.015e-03
   10      10.000s     2.101e-01     2.159e-01     5.769e-03
   11      11.000s     1.857e-01     1.889e-01     3.231e-03
   12      12.000s     1.661e-01     1.670e-01     9.423e-04
   13      13.000s     1.500e-01     1.491e-01    -8.763e-04
   14      14.000s     1.368e-01     1.345e-01    -2.308e-03
   15      15.000s     1.259e-01     1.225e-01    -3.403e-03
   16      16.000s     1.168e-01     1.127e-01    -4.088e-03
   17      17.000s     1.089e-01     1.045e-01    -4.381e-03
   18      18.000s     1.022e-01     9.777e-02    -4.414e-03
   19      19.000s     9.637e-02     9.213e-02    -4.234e-03
   20      20.000s     9.118e-02     8.740e-02    -3.785e-03
   21      21.000s     8.649e-02     8.339e-02    -3.102e-03
   22      22.000s     8.231e-02     7.998e-02    -2.330e-03
   23      23.000s     7.859e-02     7.705e-02    -1.537e-03
   24      24.000s     7.520e-02     7.451e-02    -6.900e-04
   25      25.000s     7.208e-02     7.228e-02     2.011e-04
   26      26.000s     6.925e-02     7.032e-02     1.061e-03
   27      27.000s     6.666e-02     6.856e-02     1.893e-03
   28      28.000s     6.420e-02     6.697e-02     2.776e-03
   29      29.000s     6.181e-02     6.553e-02     3.716e-03
   30      30.000s     5.957e-02     6.420e-02     4.631e-03

============================================================

