SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/jeannerat/data/nmr/nmr/djhap_benapyr/10/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 7626 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.555e+02    -1.542e+02  
T     =       7.425s        7.437s  

RSS   =    1.373e-02
SD    =    2.139e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.056e+00     5.595e-02
    2       2.000s     9.018e-01     8.962e-01    -5.624e-03
    3       3.000s     7.974e-01     7.600e-01    -3.747e-02
    4       4.000s     6.885e-01     6.438e-01    -4.471e-02
    5       5.000s     5.800e-01     5.449e-01    -3.511e-02
    6       6.000s     4.783e-01     4.606e-01    -1.766e-02
    7       7.000s     3.887e-01     3.890e-01     2.964e-04
    8       8.000s     3.136e-01     3.281e-01     1.446e-02
    9       9.000s     2.531e-01     2.763e-01     2.321e-02
   10      10.000s     2.055e-01     2.324e-01     2.686e-02
   11      11.000s     1.684e-01     1.952e-01     2.671e-02
   12      12.000s     1.395e-01     1.636e-01     2.413e-02
   13      13.000s     1.168e-01     1.369e-01     2.010e-02
   14      14.000s     9.897e-02     1.144e-01     1.538e-02
   15      15.000s     8.470e-02     9.530e-02     1.060e-02
   16      16.000s     7.314e-02     7.923e-02     6.097e-03
   17      17.000s     6.373e-02     6.570e-02     1.964e-03
   18      18.000s     5.606e-02     5.432e-02    -1.744e-03
   19      19.000s     4.968e-02     4.476e-02    -4.916e-03
   20      20.000s     4.429e-02     3.675e-02    -7.541e-03
   21      21.000s     3.978e-02     3.005e-02    -9.734e-03
   22      22.000s     3.601e-02     2.445e-02    -1.156e-02
   23      23.000s     3.276e-02     1.978e-02    -1.298e-02
   24      24.000s     2.990e-02     1.591e-02    -1.400e-02
   25      25.000s     2.741e-02     1.269e-02    -1.472e-02
   26      26.000s     2.524e-02     1.003e-02    -1.521e-02
   27      27.000s     2.328e-02     7.844e-03    -1.543e-02
   28      28.000s     2.146e-02     6.047e-03    -1.541e-02
   29      29.000s     1.983e-02     4.578e-03    -1.526e-02
   30      30.000s     1.841e-02     3.383e-03    -1.503e-02

============================================================

